DateTime,5 HK Equity,1299 HK Equity,700 HK Equity,939 HK Equity,941 HK Equity,1398 HK Equity,2318 HK Equity,3988 HK Equity,388 HK Equity,883 HK Equity,1 HK Equity,386 HK Equity,2 HK Equity,823 HK Equity,11 HK Equity,16 HK Equity,3 HK Equity,1113 HK Equity,2388 HK Equity,2628 HK Equity,27 HK Equity,857 HK Equity,688 HK Equity,1093 HK Equity,1928 HK Equity,2007 HK Equity,175 HK Equity,6 HK Equity,1109 HK Equity,762 HK Equity
23/8/2016,55.2,48.6,203.6,5.79,97.9,5,40.7,3.47,189.7,9.63,99,5.59,79.85,57.25,135.1,110.5,12.033,55.9,26.1,18.42,26.65,5.28,26.3,7.28,30.8,3.672,5.82,76.85,21.4,9.08
24/8/2016,55.2,48.4,201,5.74,97.35,4.9,39.9,3.41,189.1,9.61,98.8,5.59,79.25,56.15,135.2,108.8,11.967,54.7,26.1,18.28,25.8,5.27,26,7.47,30.5,3.681,5.75,76.3,21.15,9.08
25/8/2016,55.45,48.05,199.5,5.82,96.5,4.93,40,3.41,189.1,9.52,98,5.57,80.35,56.95,135.3,110.2,12,54.85,25.85,18.46,26.35,5.22,25.35,7.64,30.15,3.624,5.86,76.45,20.65,9.05
26/8/2016,55.9,48.4,200.4,5.77,96.25,4.94,40.1,3.41,188.6,9.62,98.75,5.62,81,56.5,135.2,111,12.05,55.15,26,19.08,26.45,5.26,25.45,7.75,30.7,3.501,6.07,75.4,21.45,9.12
29/8/2016,55.65,48.2,201.4,5.74,96.6,4.94,39.8,3.4,188,9.55,98.85,5.61,79.55,55.7,135.5,109,12.066,54.5,25.95,18.8,25.45,5.22,25.65,7.6,29.95,3.662,6.25,74.7,22,8.94
30/8/2016,56.2,48.8,204.8,5.81,96.85,4.99,40.4,3.45,190.1,9.53,99.15,5.66,80.1,55.7,136.6,109.5,12.116,54.5,26.1,18.84,25.5,5.24,26.05,7.74,31,3.7,6.37,74.75,22.35,8.94
31/8/2016,57.5,49.05,201.8,5.8,95.8,4.93,40.15,3.49,189.7,9.53,99.7,5.63,79.55,56.4,136.1,109.2,12.231,54.5,27.15,18.54,25.25,5.18,25.65,7.53,30.5,3.748,6.22,74.2,21.85,8.79
1/9/2016,59.1,49.45,202.6,5.9,94.6,4.97,40.9,3.55,190.2,9.42,99.55,5.56,79.9,56.65,135.5,109.3,12.149,54.35,27.6,18.66,27.3,5.14,25.75,7.55,32.45,3.71,6.39,75.05,21.9,8.93
2/9/2016,59,49.95,201.8,5.93,95.05,4.9,41.6,3.57,190.8,9.42,102.8,5.62,80,56.45,137,111.9,12.05,54.75,27.6,19.02,27.05,5.18,26.5,7.61,32.25,3.71,6.53,75.55,22.35,9.06
5/9/2016,59.95,50.4,210.2,5.99,96.05,4.98,41.85,3.65,194.4,9.62,103.2,5.68,80.15,57.25,137.4,117.1,12.083,56,28.15,19.32,27.2,5.24,26.9,7.71,33,3.824,6.69,76.1,23.05,9.23
